"Date","activity"
"2004-01-04",1.452
"2004-01-11",2.129
"2004-01-18",0.4265
"2004-01-25",0.8605
"2004-02-01",0.693
"2004-02-08",0.363
"2004-02-15",0.23
"2004-02-22",0.762
"2004-02-29",0.5545
"2004-03-07",1.9845
"2004-03-14",0.408
"2004-03-21",1.6985
"2004-03-28",0.4175
"2004-04-04",0.6405
"2004-04-11",-0.096
"2004-04-18",0.8965
"2004-04-25",0.1245
"2004-05-02",-0.3255
"2004-05-09",-0.223
"2004-05-16",0.9775
"2004-05-23",0.538
"2004-05-30",0.791
"2004-06-06",0.667
"2004-06-13",0.4935
"2004-06-20",0.57
"2004-06-27",1.289
"2004-07-04",1.441
"2004-07-11",1.3015
"2004-07-18",1.949
"2004-07-25",1.775
"2004-08-01",0.5065
"2004-08-08",0.9245
"2004-08-15",0.736
"2004-08-22",0.871
"2004-08-29",1.6965
"2004-09-05",0.87
"2004-09-12",1.287
"2004-09-19",0.896
"2004-09-26",1.107
"2004-10-03",0.404
"2004-10-10",0.223
"2004-10-17",0.28
"2004-10-24",0.051
"2004-10-31",0.8985
"2004-11-07",2.0455
"2004-11-14",2.741
"2004-11-21",4.31
"2004-11-28",4.144
"2004-12-05",4.9905
"2004-12-12",5.25
"2004-12-19",3.7905
"2004-12-26",2.6125
"2005-01-02",1.5345
"2005-01-09",0.807
"2005-01-16",0.64
"2005-01-23",0.863
"2005-01-30",0.5115
"2005-02-06",0.742
"2005-02-13",0.7495
"2005-02-20",0.631
"2005-02-27",0.5965
"2005-03-06",0.678
"2005-03-13",0.3925
"2005-03-20",0.7875
"2005-03-27",0.046
"2005-04-03",0.161
"2005-04-10",-0.281
"2005-04-17",0.092
"2005-04-24",-0.163
"2005-05-01",0.1925
"2005-05-08",0.4035
"2005-05-15",0.566
"2005-05-22",0.122
"2005-05-29",0.358
"2005-06-05",0.034
"2005-06-12",0.5025
"2005-06-19",0.206
"2005-06-26",0.3385
"2005-07-03",0.723
"2005-07-10",0.7345
"2005-07-17",0.6035
"2005-07-24",-0.2125
"2005-07-31",0.6505
"2005-08-07",0.4775
"2005-08-14",0.786
"2005-08-21",0.5455
"2005-08-28",0.814
"2005-09-04",0.4845
"2005-09-11",0.61
"2005-09-18",0.7415
"2005-09-25",0.999
"2005-10-02",0.624
"2005-10-09",0.69
"2005-10-16",0.901
"2005-10-23",1.2815
"2005-10-30",0.4905
"2005-11-06",1.0415
"2005-11-13",1.91
"2005-11-20",4.0495
"2005-11-27",3.8705
"2005-12-04",3.9705
"2005-12-11",4.207
"2005-12-18",3.7615
"2005-12-25",3.001
"2006-01-01",0.931
"2006-01-08",0.417
"2006-01-15",-0.2525
"2006-01-22",0.0135
"2006-01-29",0.2365
"2006-02-05",0.43
"2006-02-12",0.251
"2006-02-19",0.581
"2006-02-26",0.0365
"2006-03-05",-0.3605
"2006-03-12",-0.044
"2006-03-19",-0.2355
"2006-03-26",-0.2305
"2006-04-02",-0.4285
"2006-04-09",-0.2365
"2006-04-16",-0.32
"2006-04-23",-0.3865
"2006-04-30",-0.48
"2006-05-07",-0.6055
"2006-05-14",-0.0555
"2006-05-21",0.0315
"2006-05-28",-0.2265
"2006-06-04",0.331
"2006-06-11",-0.084
"2006-06-18",-0.318
"2006-06-25",-0.446
"2006-07-02",0.456
"2006-07-09",-0.488
"2006-07-16",-0.322
"2006-07-23",-0.2795
"2006-07-30",0.2145
"2006-08-06",0.2125
"2006-08-13",0.0595
"2006-08-20",0.0325
"2006-08-27",0.0355
"2006-09-03",0.2375
"2006-09-10",0.558
"2006-09-17",-0.005
"2006-09-24",0.0985
"2006-10-01",0.2525
"2006-10-08",0.384
"2006-10-15",0.5735
"2006-10-22",0.518
"2006-10-29",0.674
"2006-11-05",1.417
"2006-11-12",1.8595
"2006-11-19",3.7115
"2006-11-26",2.3015
"2006-12-03",3.1415
"2006-12-10",3.357
"2006-12-17",1.874
"2006-12-24",2.2765
"2006-12-31",0.3915
"2007-01-07",0.3055
"2007-01-14",-0.16
"2007-01-21",0.1285
"2007-01-28",-0.0275
"2007-02-04",-0.311
"2007-02-11",0.076
"2007-02-18",-0.189
"2007-02-25",-0.608
"2007-03-04",-0.1295
"2007-03-11",-0.3095
"2007-03-18",-0.3455
"2007-03-25",-0.384
"2007-04-01",-0.342
"2007-04-08",-0.559
"2007-04-15",-0.4665
"2007-04-22",-0.46
"2007-04-29",-0.284
"2007-05-06",-0.3335
"2007-05-13",-0.5625
"2007-05-20",-0.292
"2007-05-27",-0.2705
"2007-06-03",0.0665
"2007-06-10",-0.2125
"2007-06-17",-0.128
"2007-06-24",-0.128
"2007-07-01",-0.12
"2007-07-08",-0.1825
"2007-07-15",-0.3135
"2007-07-22",0.0305
"2007-07-29",-0.0435
"2007-08-05",0.1315
"2007-08-12",-0.112
"2007-08-19",0.042
"2007-08-26",-0.075
"2007-09-02",0.336
"2007-09-09",-0.004
"2007-09-16",-0.063
"2007-09-23",0.2975
"2007-09-30",-0.3355
"2007-10-07",0.446
"2007-10-14",-0.076
"2007-10-21",0.208
"2007-10-28",0.469
"2007-11-04",0.3105
"2007-11-11",1.384
"2007-11-18",2.6655
"2007-11-25",2.8255
"2007-12-02",2.661
"2007-12-09",2.6755
"2007-12-16",2.3775
"2007-12-23",2.2225
"2007-12-30",0.7245
"2008-01-06",0.0425
"2008-01-13",0.152
"2008-01-20",0.1875
"2008-01-27",-0.045
"2008-02-03",-0.198
"2008-02-10",-0.143
"2008-02-17",0.1885
"2008-02-24",-0.239
"2008-03-02",-0.372
"2008-03-09",-0.2305
"2008-03-16",-0.0355
"2008-03-23",-0.2125
"2008-03-30",-0.405
"2008-04-06",-0.542
"2008-04-13",-0.6325
"2008-04-20",-0.355
"2008-04-27",-0.252
"2008-05-04",-0.0065
"2008-05-11",-0.206
"2008-05-18",-0.07
"2008-05-25",-0.2145
"2008-06-01",0.0675
"2008-06-08",-0.4145
"2008-06-15",-0.1975
"2008-06-22",-0.1365
"2008-06-29",-0.1315
"2008-07-06",-0.161
"2008-07-13",-0.0995
"2008-07-20",-0.1855
"2008-07-27",0.0555
"2008-08-03",0.2375
"2008-08-10",-0.116
"2008-08-17",-0.214
"2008-08-24",-0.508
"2008-08-31",0.125
"2008-09-07",0.1145
"2008-09-14",-0.119
"2008-09-21",0.191
"2008-09-28",-0.5295
"2008-10-05",-0.115
"2008-10-12",-0.215
"2008-10-19",-0.178
"2008-10-26",-0.00750000000000001
"2008-11-02",0.625
"2008-11-09",0.927
"2008-11-16",1.1075
"2008-11-23",2.481
"2008-11-30",2.29
"2008-12-07",2.606
"2008-12-14",2.1715
"2008-12-21",1.854
"2008-12-28",0.931
"2009-01-04",0.2
"2009-01-11",-0.033
"2009-01-18",-0.1295
"2009-01-25",-0.1985
"2009-02-01",0.1675
"2009-02-08",-0.0845
"2009-02-15",-0.1085
"2009-02-22",-0.13
"2009-03-01",-0.2885
"2009-03-08",-0.1805
"2009-03-15",-0.266
"2009-03-22",-0.277
"2009-03-29",-0.1395
"2009-04-05",-0.0825
"2009-04-12",-0.415
"2009-04-19",-0.45
"2009-04-26",-0.4815
"2009-05-03",-0.4485
"2009-05-10",-0.493
"2009-05-17",-0.42
"2009-05-24",-0.365
"2009-05-31",-0.4425
"2009-06-07",-0.481
"2009-06-14",-0.437
"2009-06-21",-0.305
"2009-06-28",-0.5065
"2009-07-05",-0.2855
"2009-07-12",-0.139
"2009-07-19",-0.116
"2009-07-26",-0.042
"2009-08-02",-0.127
